ID,id2,Macroarea,counts_wals,Longitude,Latitude
NA,anga1294,Multinesia,0,143.583,-6.23296
NA,anga1315,Eurasia,0,93.719062,25.896367
NA,anga1316,South America,0,-58.45,-22.85
NA,angg1238,Australia,0,142.242,-11.443
yli,angg1239,Multinesia,7,139.3333333,-4
NA,angi1238,Eurasia,0,85.534,26.0047
NA,angl1239,Eurasia,0,-2.56,51.75
ewa,angl1262,Africa,2,1,6
ang,ango1254,Multinesia,34,141.1666667,-3.75
NA,ango1255,Multinesia,0,144.028,-4.07758
NA,ango1257,South America,0,-71.9212,6.54198
ago,ango1258,Africa,4,6.5,0.25
agt,angu1242,Australia,23,141.8333333,-12.33333333
NA,anii1245,Africa,0,1.60169,9.11127
ani,anii1246,Africa,44,21.91666667,-18.91666667
NA,anim1239,Africa,0,0.41962,7.60385
ann,anin1240,Australia,27,136.5,-14
NA,anin1242,Africa,0,8.51,9.08
NA,anip1235,Eurasia,0,103.6,23.7
NA,anja1238,Multinesia,0,145.717,-5.45899
NA,anka1246,Multinesia,0,145.754,-7.19444
NA,anma1239,Australia,0,133.286,-22.2853
NA,anor1241,Multinesia,0,144.801,-4.98449
NA,anse1238,South America,0,-76.05,6.24999
NA,ansu1237,Multinesia,0,135.866,-1.7543
NA,anta1253,Australia,0,134.838,-27.1152
NA,anta1255,Africa,0,49.2402,-13.2164
NA,anti1242,South America,0,-75.342236,7.199341
NA,anti1245,North America,0,-61.821863,17.068263
any,anua1242,Africa,36,33.5,8
anu,anuf1239,Africa,36,0.25,10.08333333
NA,anuk1239,Multinesia,0,149.822,-9.6692
NA,anus1237,Multinesia,0,139.502,-2.2627100000000002
NA,anut1237,Multinesia,0,169.85,-11.61
NA,anuu1241,Eurasia,0,93.05,21.5
NA,anyi1244,Africa,0,-4.64232,6.1627
ayi,anyi1245,Africa,9,-3.5,7
NA,aohe1237,Multinesia,0,114.127,0.87404
ao,aona1235,Eurasia,58,94.66666667,26.58333333
NA,aore1237,Multinesia,0,167.166,-15.5753
NA,aoua1234,Eurasia,0,105.85,26.8
NA,apal1237,North America,0,-84.416,30.118
NA,apal1255,Multinesia,0,149.96,-6.29002
NA,apal1256,Multinesia,0,145.023,-5.1727
apl,apal1257,South America,56,-54,0
NA,apas1235,North America,0,-97.0657,17.6143
apt,apat1240,Eurasia,35,93.75,27.5
NA,apia1247,South America,0,-49.771729,-6.5
NA,apia1248,South America,0,-57.91,-7.84711
api,apin1244,South America,36,-48,-5.5
NA,apma1240,Multinesia,0,168.189,-15.8559
kbo,apma1241,Multinesia,19,144.1333333,-4.25
NA,apol1242,South America,0,-68.66,-14.83
aiz,apro1235,Africa,12,-4.5,5.25
apk,apuc1241,Eurasia,1,92.83333333,12.16666667
NA,apul1236,Eurasia,0,18.166667,40.35
apu,apur1254,South America,130,-67,-9
NA,aput1237,Multinesia,0,126.496,-7.84732
abn,arab1267,Australia,36,136.25,-28.25
arb,arab1268,South America,21,-75.16666667,-2
NA,arab1399,Eurasia,0,35.29,32.8875
NA,araf1245,Multinesia,0,143.298006,-5.101836
NA,arag1245,Eurasia,0,-0.00919,42.4669
NA,arai1239,South America,0,-67.2052,-3.104315
ark,arak1252,Multinesia,3,166.9166667,-15.66666667
atb,aral1243,Multinesia,3,119.25,-2.75
NA,aram1252,Africa,0,37.3491,-2.90656
NA,aram1253,Multinesia,0,141.445,-8.29593
NA,aram1260,Africa,0,-16.373202,12.299274
ard,aran1237,Multinesia,1,133,-2.083333333
NA,aran1261,Eurasia,0,75.79538,11.35252
NA,aran1265,North America,0,-97.38526,28.65425
ana,arao1248,South America,94,-67.75,-12.33333333
aho,arap1274,North America,3,-103,40
NA,arap1275,South America,0,-67.7282,0.13727
NA,araw1272,Multinesia,0,145.903,-5.52787
NA,araw1273,South America,0,-52.5001,-4.90246
ara,araw1276,South America,55,-55.16666667,5.5
NA,araz1236,South America,0,-70.8,-13.25
NA,arbe1236,Eurasia,0,16.7164,38.911
abo,arbo1245,Africa,14,36.75,5
arc,arch1244,Eurasia,67,46.83333333,42
NA,arch1246,Eurasia,0,22.84,66.32
arx,area1240,Multinesia,2,161.1666667,-9.25
NA,areb1238,Australia,0,142.63107,-16.63548
NA,aree1239,Multinesia,0,149.999,-9.67147
NA,arem1240,Eurasia,0,105.928,17.7672
NA,areq1237,South America,0,-72.6333,-15.1806
lsa,arge1236,South America,2,-63,-34
NA,argo1244,Africa,0,39.756,10.6596
NA,argu1237,Multinesia,0,132.5556,-2.645798
NA,arha1237,Multinesia,0,165.273,-21.2866
NA,arho1237,Multinesia,0,165.161,-21.3183
ika,arhu1242,South America,112,-73.75,10.66666667
NA,arib1240,Multinesia,0,146.919,-6.65252
ari,arib1241,Multinesia,6,147,-6.716666667
NA,arif1239,Multinesia,0,149.246,-9.15565
NA,arig1246,Africa,0,5.89556,7.56324
NA,arii1243,Multinesia,0,142.4,-7.95526
akr,arik1262,North America,4,-100.5,45.5
NA,arik1264,South America,0,-63.742,-8.924
NA,arik1265,South America,0,-62.7261,-12.4878
NA,arin1243,Eurasia,0,93,57
NA,arin1244,Africa,0,31.3071,3.56143
NA,arit1239,Australia,0,142.138748,-12.50839255
NA,ariz1237,North America,0,-110.381389,35.836667
NA,arma1244,South America,0,-76,2.03332
NA,arme1259,Eurasia,0,44.4767,40.1002
NA,aroa1234,South America,0,-60.398433,-2.102167
NA,arom1237,Eurasia,0,21.2,40.616
NA,arop1242,Multinesia,0,142.12,-3.06984
alk,arop1243,Multinesia,33,147.05,-5.383333333
aro,aros1241,Multinesia,44,161.3333333,-10.25
NA,arta1239,Multinesia,0,121.656,16.4185
mkr,arua1260,Multinesia,2,144.9166667,-4.416666667
NA,arua1261,South America,0,-62.4357,-12.1186
NA,arua1263,South America,0,-67.98,-5.5
NA,arua1264,South America,0,-50.123291,-0.608631
NA,arub1238,South America,0,-69.65051,11.28679
NA,arue1240,Multinesia,0,142.715,-3.37841
NA,aruo1240,Multinesia,0,142.478,-3.45782
NA,arut1244,South America,0,-62.8676118,4.0673594
NA,arva1236,Eurasia,0,23.3703,38.283
NA,asar1240,Multinesia,0,146.508,-5.68263
cax,asha1243,South America,66,-74,-12
NA,ashe1269,Africa,0,7.39443,9.36574
NA,ashe1272,South America,0,-74.9153,-10.9777
cpa,ashe1273,South America,5,-74.25,-10.66666667
NA,ashk1246,Eurasia,0,70.542035,35.10699
hyo,asho1236,Eurasia,1,92.41666667,22.08333333
NA,asht1244,Eurasia,0,48.6808,37.7469
NA,asil1242,Multinesia,0,127.952,-3.67302
NA,asko1238,Multinesia,0,155.307,-6.22539
NA,asoa1238,Africa,0,26.7198,2.26818
ass,assa1263,Eurasia,33,93,26
NA,assa1266,Eurasia,0,94,56
sug,assa1269,Africa,12,21.5,13.75
NA,assi1247,North America,0,-106.068,49.2923
NA,asss1237,Multinesia,0,131.728,-0.75267
nsy,assy1241,Eurasia,3,41,36
ast,astu1245,Eurasia,1,-6,43.25
pis,asue1235,Multinesia,20,139.1666667,-5.166666667
NA,asum1237,Multinesia,0,166.499,-11.2969
NA,asun1235,Africa,0,5.42081,10.0849
NA,asun1236,North America,0,-96.8704,16.8762
NA,asur1254,Eurasia,0,83.4562,21.5721
pre,asut1235,Africa,30,36.5,-4
NA,ataa1240,Multinesia,0,122.9,9.715
esm,atac1235,South America,10,-79.83333333,0.333333333
atk,atak1252,North America,31,-93.5,30
uhi,atam1239,Australia,50,142.4166667,-11.91666667
NA,atam1240,Multinesia,0,125.499,7.7789
mxa,atat1238,North America,7,-97.75,17
ata,atay1247,Eurasia,51,121.3333333,24.5
NA,atem1241,Multinesia,0,144.806,-5.08137
NA,athi1234,Australia,0,142.4,-17.2
ath,athp1241,Eurasia,40,87.33333333,27
NA,atii1237,Multinesia,0,122.512,11.1539
ati,atik1240,North America,3,-74,48
NA,atoh1238,Multinesia,0,138.666,-6.27123
NA,aton1241,Eurasia,0,90.658722,25.346508
NA,aton1242,Africa,0,9.72121,6.03539
NA,ator1244,South America,0,-60.286,2.481
NA,atsa1241,Africa,0,8.48301,9.95914
NA,atsa1242,South America,0,-69.5,-14.1666
ats,atsu1245,North America,8,-121,40.75
NA,atta1243,Eurasia,0,76.5365,11.1575
NA,atti1239,Africa,0,-3.8209,5.9977
ocu,atzi1235,North America,34,-99.66666667,18.91666667
NA,auhe1237,Multinesia,0,151.002,-10.0959
aul,aulu1238,Multinesia,1,167.6666667,-16.33333333
NA,aura1243,South America,0,-46.792,-4.137
NA,aush1241,Africa,0,29.0168,-11.6295
NA,aush1242,South America,0,-74.5411,-3.3196
NA,aust1252,Eurasia,0,16.225,48.1197
NA,aust1253,Australia,0,135,-25
aus,aust1271,Australia,2,145,-30
NA,aust1304,Multinesia,0,-149.462,-23.3843
au,auuu1241,Multinesia,42,142.0833333,-3.583333333
NA,auwe1239,Multinesia,0,141.254,-3.33662
NA,auye1238,Multinesia,0,136.096,-3.43705
NA,auyo1240,Africa,0,11.322,9.85747
NA,avac1239,South America,0,-48.1336,-13.6081
ava,avar1256,Eurasia,63,46.5,42.5
avt,avat1244,Africa,2,0.416666667,6.833333333
NA,avau1237,Multinesia,0,150.427,-6.24342
NA,aves1237,Eurasia,0,62.112,34.217
avk,avik1243,Africa,9,-5.5,5.166666667
avo,avok1242,Africa,19,30,4.666666667
NA,avok1244,Multinesia,0,167.773866,-16.536653
NA,awab1243,Australia,0,151.43555,-33.12847
NA,awac1238,Eurasia,0,99.4833,22.75
awp,awac1239,South America,131,-78.25,1.5
awd,awad1243,Eurasia,4,81.5,27.5
NA,awad1244,Multinesia,0,146.355,-5.59896
NA,awak1250,Africa,0,11.3291,9.8633400000000009
awa,awap1236,Multinesia,32,145.75,-6.666666667
NA,awar1248,Multinesia,0,146.372,-6.16986
NA,awar1249,Multinesia,0,144.836,-4.13554
NA,awbo1238,Multinesia,0,139.724,-5.05875
NA,awee1242,Africa,0,41.234,-1.40124
NA,awer1241,Multinesia,0,136.063,-2.71886
NA,awet1244,South America,0,-53.391944,-12.381944
NA,awia1234,Multinesia,0,143.71036,-4.67314
NA,awin1248,Africa,0,10.264,5.88362
auy,awiy1238,Multinesia,1,145.75,-6.5
NA,awji1241,Africa,0,21.1819,29.2341
awn,awng1244,Africa,21,36.66666667,10.83333333
awt,awtu1239,Multinesia,69,142,-3.583333333
NA,awun1245,Multinesia,0,141.999,-3.79671
NA,awut1241,Africa,0,-0.59545,5.42441
NA,awuu1235,Eurasia,0,103.306,25.395
awy,awyi1241,Multinesia,7,140.5833333,-2.916666667
NA,axam1237,Multinesia,0,167.707,-16.4838
NA,axiy1235,Eurasia,0,103.713,24.6009
NA,ayab1239,Australia,0,142.893,-14.6652
qay,ayac1239,South America,7,-74,-14
NA,ayau1235,North America,0,-96.5952,18.0993
NA,ayer1245,Africa,0,6.01979,7.52206
NA,ayic1234,Eurasia,0,98.8684,27.1213
NA,ayip1235,Multinesia,0,142.407,-3.95946
ayw,ayiw1239,Multinesia,14,166.25,-10.33333333
NA,ayiz1244,Eurasia,0,103.7,25
NA,ayiz1245,Africa,0,2.20552,6.62654
ayo,ayom1234,South America,10,-69,11
NA,ayoq1235,North America,0,-96.8575,16.6633
ayr,ayor1240,South America,9,-59.25,-20.25
