sort	code_glot	type_src	id_RefLex	name	genus	family_wals	lat	long
128	afar1241	RefLex	336	afar	Eastern Cushitic	Afro-Asiatic	12.50	41.50
129	tupu1244	RefLex	348	tupuri	Adamawa	Niger-Congo	10.15	14.70
130	gula1264	RefLex	363	gula iro	Adamawa	Niger-Congo	10.30	19.55
131	bady1239	RefLex	389	jaad (badiaranke)	Northern Atlantic	Niger-Congo	12.60	-13.74
132	komc1235	RefLex	454	kom	Bantoid	Niger-Congo	6.25	10.33333
133	baba1266	RefLex	452	L1. babanki	Bantoid	Niger-Congo	5.97863	10.2869
134	komm1246	RefLex	455	kom	Bantoid	Niger-Congo	5.70938	10.3033
135	okuu1243	RefLex	457	oku	Bantoid	Niger-Congo	6.24	10.52
136	kens1251	RefLex	458	kenswei nsei	Bantoid	Niger-Congo	6.03	10.41
137	veng1238	RefLex	459	vengo	Bantoid	Niger-Congo	6.14	10.41
138	mish1244	RefLex	896	miship	West Chadic	Afro-Asiatic	9.22	9.33
139	goem1240	RefLex	897	goemai	West Chadic	Afro-Asiatic	8.77	9.78
140	kare1348	RefLex	898	karekare	West Chadic	Afro-Asiatic	12.42	10.87
141	gera1246	RefLex	899	gera	West Chadic	Afro-Asiatic	10.43	10.14
142	nucl1695	RefLex	900	bole	West Chadic	Afro-Asiatic	11.35	11.26
143	ngam1282	RefLex	901	ngamo	West Chadic	Afro-Asiatic	11.99	11.22
144	pero1241	RefLex	902	pero	West Chadic	Afro-Asiatic	9.56	11.05
145	nucl1696	RefLex	903	tangale	West Chadic	Afro-Asiatic	9.82	11.33
146	dera1248	RefLex	904	kanakuru (dera)	West Chadic	Afro-Asiatic	10.09	12.03
147	bogh1241	RefLex	907	boghom	West Chadic	Afro-Asiatic	9.51	10.11
148	buli1260	RefLex	909	bili (buli)	West Chadic	Afro-Asiatic	10.23	9.81
149	polc1244	RefLex	912	posi (polci)	West Chadic	Afro-Asiatic	10.12	9.50
150	ngiz1242	RefLex	913	ngizim	West Chadic	Afro-Asiatic	12.05	11.02
151	bade1248	RefLex	914	bade	West Chadic	Afro-Asiatic	12.80	10.63
152	bana1305	RefLex	934	bana	Biu-Mandara	Afro-Asiatic	10.36	13.65
153	bank1257	RefLex	958	jarawa	Bantoid	Niger-Congo	9.65	10.10
154	ejam1238	RefLex	1171	joola ejamat	Central Atlantic	Niger-Congo	12.40	-16.20
155	mlom1238	RefLex	1175	joola mlomp	Central Atlantic	Niger-Congo	12.82	-16.51
156	dadi1249	RefLex	1280	dadiya	Adamawa	Niger-Congo	9.62	11.33
157	dime1235	RefLex	1308	dime	South Omotic	Afro-Asiatic	6.20	36.30
158	ngas1240	RefLex	1353	angas (ngas)	West Chadic	Afro-Asiatic	9.50	9.50
159	bush1247	RefLex	1361	bushoong	Bantoid	Niger-Congo	-4.55	21.65
160	kete1252	RefLex	1362	kete	Bantoid	Niger-Congo	-7.00	22.95
161	holo1240	RefLex	1368	holoholo	Bantoid	Niger-Congo	-5.40	28.30
162	supy1237	RefLex	1436	supyire	Gur	Niger-Congo	11.50	-5.60
163	firi1238	RefLex	1476	jalonke	Western Mande	Niger-Congo	12.00	-11.50
164	bubi1250	RefLex	1535	vove (pove)	Bantoid	Niger-Congo	-1.10	12.30
165	zarm1239	RefLex	1547	zarma	Songhay	Songhay	13.50	2.40
166	kele1257	RefLex	1588	kele ouest (bubi)	Bantoid	Niger-Congo	-0.80	10.35
167	myen1241	RefLex	1591	myene	Bantoid	Niger-Congo	-1.20	9.55
168	enen1239	RefLex	1593	enenga	Bantoid	Niger-Congo	-0.70	10.29
169	galw1238	RefLex	1595	galwa	Bantoid	Niger-Congo	-0.70	10.24
170	orun1242	RefLex	1598	orungu	Bantoid	Niger-Congo	-0.72	8.78
171	basa1284	RefLex	1601	basaa	Bantoid	Niger-Congo	5.00	10.20
172	wumb1242	RefLex	1603	wumbvu	Bantoid	Niger-Congo	-2.30	12.25
173	kota1274	RefLex	1605	kota	Bantoid	Niger-Congo	0.00	12.80
174	sake1247	RefLex	1606	sake	Bantoid	Niger-Congo	0.25	11.75
175	ndas1238	RefLex	1609	ndasa nord	Bantoid	Niger-Congo	-2.90	13.30
176	osam1235	RefLex	1612	samaye	Bantoid	Niger-Congo	-0.15	13.73
177	tsog1243	RefLex	1620	tsogo	Bantoid	Niger-Congo	-1.50	11.30
178	simb1254	RefLex	1623	simba	Bantoid	Niger-Congo	-1.25	11.15
